team_id,opp_team_id,game_id,game_dt,result,team_goals,opp_goals,points_earned,mins
SHU,NOR,158,2019-12-08T08:00:00Z,W,2,1,3,60
SHU,AVL,165,2019-12-14T09:00:00Z,W,1,0,3,60
SHU,BHA,174,2019-12-21T09:00:00Z,W,1,0,3,60
SHU,WAT,186,2019-12-26T09:00:00Z,D,1,1,1,60
SHU,MC,199,2019-12-29T12:00:00Z,L,0,1,0,60
SHU,LIV,209,2020-01-02T14:00:00Z,L,0,1,0,60
SHU,WHU,210,2020-01-10T14:00:00Z,W,1,0,3,60
SHU,ARS,221,2020-01-18T09:00:00Z,L,0,1,0,60
SHU,MC,233,2020-01-21T13:30:00Z,D,0,0,1,60
SHU,CP,243,2020-02-01T09:00:00Z,W,1,0,3,60
SHU,BOU,253,2020-02-09T08:00:00Z,D,1,1,1,60
SHU,BHA,264,2020-02-22T09:00:00Z,D,1,1,1,60
SHU,NOR,282,2020-03-07T09:00:00Z,W,1,0,3,60
